test_name,mode,phase,prompt_len,generated_tokens,total_context_len,batch_size,measure_runs,latency_s_mean,ms_per_token_mean,throughput_tok_s_mean,peak_gpu_memory_mb_mean
fixed_prompt_vary_decode,no_cache,e2e,128,16,144,1,3,0.23604154566661842,14.752596604163651,67.86482634969722,740.2626953125
fixed_prompt_vary_decode,kv_cache,e2e,128,16,144,1,3,0.22173445833353375,13.85840364584586,72.39539373623937,719.0830078125
fixed_prompt_vary_decode,no_cache,e2e,128,64,192,1,3,0.9717579569996815,15.183718078120023,65.86407986003815,757.447265625
fixed_prompt_vary_decode,kv_cache,e2e,128,64,192,1,3,0.6849657553336025,10.702589927087539,93.4768483517389,722.4580078125
fixed_prompt_vary_decode,no_cache,e2e,128,128,256,1,3,2.303371851000217,17.995092585939194,55.57362847876994,782.17578125
fixed_prompt_vary_decode,kv_cache,e2e,128,128,256,1,3,1.3654035696666444,10.66721538802066,93.74862121324368,726.95849609375
fixed_prompt_vary_decode,no_cache,e2e,128,256,384,1,3,6.590176989333486,25.74287886458393,38.85988357667673,833.59814453125
fixed_prompt_vary_decode,kv_cache,e2e,128,256,384,1,3,3.0889316373337956,12.066139208335139,84.04938759000844,745.95947265625
fixed_decode_vary_prompt,no_cache,e2e,32,64,96,1,3,0.6206937703333703,9.69834016145891,103.12386806969867,720.35498046875
fixed_decode_vary_prompt,kv_cache,e2e,32,64,96,1,3,0.6893681373333796,10.771377145834057,92.85276990772269,697.30224609375
fixed_decode_vary_prompt,no_cache,e2e,128,64,192,1,3,1.1565336123333811,18.07083769270908,55.34094494957359,757.447265625
fixed_decode_vary_prompt,kv_cache,e2e,128,64,192,1,3,0.7123348000001594,11.13023125000249,90.4971968624004,722.4580078125
fixed_decode_vary_prompt,no_cache,e2e,512,64,576,1,3,4.068313602999903,63.56740004687348,15.736862222081683,905.88671875
fixed_decode_vary_prompt,kv_cache,e2e,512,64,576,1,3,0.6739253963335917,10.53008431771237,95.00173678318902,827.26220703125
fixed_decode_vary_prompt,no_cache,e2e,768,64,832,1,3,7.332586391666761,114.57166236979315,8.73000369716336,1006.2978515625
fixed_decode_vary_prompt,kv_cache,e2e,768,64,832,1,3,0.7246279126669227,11.322311135420668,88.56070821162284,892.61181640625
prefill_decode_breakdown,no_cache,prefill,128,64,192,1,3,0.017095566666891198,0.13355911458508749,7487.321274228145,757.44580078125
prefill_decode_breakdown,no_cache,decode,128,64,192,1,3,1.2490534906664834,19.516460791663803,51.238931898517045,757.44580078125
prefill_decode_breakdown,kv_cache,prefill,128,64,192,1,3,0.012154689333025695,0.09495851041426324,10530.914982105647,722.45654296875
prefill_decode_breakdown,kv_cache,decode,128,64,192,1,3,0.6652319329999349,10.394248953123983,96.20971481799585,722.45654296875
prefill_decode_breakdown,no_cache,prefill,512,64,576,1,3,0.05450366566674347,0.10645247200535835,9393.863582140812,905.88232421875
prefill_decode_breakdown,no_cache,decode,512,64,576,1,3,4.013427737333283,62.709808395832546,15.946832070534258,905.88232421875
prefill_decode_breakdown,kv_cache,prefill,512,64,576,1,3,0.033666416666468045,0.0657547200516954,15208.033723112418,827.2578125
prefill_decode_breakdown,kv_cache,decode,512,64,576,1,3,0.6714624676663637,10.491601057286934,95.34117120864799,827.2578125
prefill_decode_breakdown,no_cache,prefill,768,128,896,1,3,0.08938803166620346,0.11639066623203576,8591.754239179332,1030.47998046875
prefill_decode_breakdown,no_cache,decode,768,128,896,1,3,13.890262981999816,108.51767954687357,9.216940380239228,1030.47998046875
prefill_decode_breakdown,kv_cache,prefill,768,128,896,1,3,0.06983565866660986,0.09093184722214825,10997.247175205632,897.23046875
prefill_decode_breakdown,kv_cache,decode,768,128,896,1,3,1.6872661070001413,13.181766460938604,77.40169754760157,897.23046875
batch_sweep,no_cache,e2e,128,64,192,1,3,1.2480018950000158,19.500029609375247,51.281982367695456,757.447265625
batch_sweep,kv_cache,e2e,128,64,192,1,3,0.6798711546662162,10.622986791659628,94.155100837255,722.4580078125
batch_sweep,no_cache,e2e,128,64,192,2,3,2.335033460333458,36.484897817710284,54.818170146480355,831.84765625
batch_sweep,kv_cache,e2e,128,64,192,2,3,0.6718638100001044,10.497872031251632,190.53768164883365,771.99755859375
batch_sweep,no_cache,e2e,128,64,192,4,3,4.378066256666595,68.40728526041555,58.47443089160215,978.26806640625
batch_sweep,kv_cache,e2e,128,64,192,4,3,0.9062678626666335,14.160435354166149,282.4900557740489,838.9375
